Y_pestis_CO92_2014	Y_pestis_CO92	Similarity_Y_pestis_CO92_2014.to.Y_pestis_CO92	Similarity_Y_pestis_CO92.to.Y_pestis_CO92_2014
KGA54328.1	gnl|YPES214092|GKDD-2855-MONOMER	100.0	100.0
KGA54329.1	gnl|YPES214092|GKDD-2875-MONOMER	100.0	100.0
KGA54333.1	gnl|YPES214092|GKDD-2830-MONOMER	100.0	100.0
KGA54310.1	gnl|YPES214092|GKDD-2879-MONOMER	100.0	100.0
KGA54334.1	gnl|YPES214092|GKDD-2920-MONOMER	100.0	100.0
KGA54337.1	gnl|YPES214092|GKDD-2930-MONOMER	100.0	100.0
KGA54338.1	gnl|YPES214092|GKDD-2929-MONOMER	100.0	100.0
KGA54339.1	gnl|YPES214092|GKDD-2918-MONOMER	100.0	100.0
KGA54340.1	gnl|YPES214092|GKDD-2841-MONOMER	100.0	100.0
KGA54342.1	gnl|YPES214092|GKDD-2828-MONOMER	100.0	100.0
KGA54344.1	gnl|YPES214092|GKDD-2926-MONOMER	100.0	100.0
KGA54345.1	gnl|YPES214092|GKDD-2883-MONOMER	100.0	100.0
KGA54346.1	gnl|YPES214092|GKDD-2898-MONOMER	100.0	100.0
KGA54348.1	gnl|YPES214092|GKDD-2943-MONOMER	100.0	100.0
KGA54349.1	gnl|YPES214092|GKDD-2901-MONOMER	100.0	100.0
KGA54351.1	gnl|YPES214092|GKDD-2876-MONOMER	100.0	100.0
KGA54352.1	gnl|YPES214092|GKDD-2845-MONOMER	100.0	100.0
KGA54353.1	gnl|YPES214092|GKDD-2894-MONOMER	100.0	100.0
KGA54311.1	gnl|YPES214092|GKDD-2873-MONOMER	100.0	100.0
KGA54309.1	gnl|YPES214092|GKDD-2934-MONOMER	100.0	100.0
KGA54272.1	gnl|YPES214092|GKDD-2874-MONOMER	100.0	100.0
KGA54290.1	gnl|YPES214092|GKDD-2899-MONOMER	100.0	100.0
KGA54274.1	gnl|YPES214092|GKDD-2921-MONOMER	100.0	100.0
KGA54275.1	gnl|YPES214092|GKDD-2892-MONOMER	100.0	100.0
KGA54276.1	gnl|YPES214092|GKDD-2838-MONOMER	100.0	100.0
KGA54277.1	gnl|YPES214092|GKDD-2888-MONOMER	100.0	100.0
KGA54278.1	gnl|YPES214092|GKDD-2852-MONOMER	100.0	100.0
KGA54279.1	gnl|YPES214092|GKDD-2950-MONOMER	100.0	100.0
KGA54280.1	gnl|YPES214092|GKDD-2887-MONOMER	100.0	100.0
KGA54282.1	gnl|YPES214092|GKDD-2944-MONOMER	100.0	100.0
KGA54283.1	gnl|YPES214092|GKDD-2872-MONOMER	100.0	100.0
KGA54284.1	gnl|YPES214092|GKDD-2928-MONOMER	100.0	100.0
KGA54285.1	gnl|YPES214092|GKDD-2860-MONOMER	100.0	100.0
KGA54287.1	gnl|YPES214092|GKDD-2827-MONOMER	100.0	100.0
KGA54288.1	gnl|YPES214092|GKDD-2829-MONOMER	100.0	100.0
KGA54289.1	gnl|YPES214092|GKDD-2868-MONOMER	100.0	100.0
KGA54291.1	gnl|YPES214092|GKDD-2948-MONOMER	100.0	100.0
KGA54308.1	gnl|YPES214092|GKDD-2893-MONOMER	100.0	100.0
KGA54292.1	gnl|YPES214092|GKDD-2903-MONOMER	100.0	100.0
KGA54293.1	gnl|YPES214092|GKDD-2877-MONOMER	100.0	100.0
KGA54294.1	gnl|YPES214092|GKDD-2905-MONOMER	100.0	100.0
KGA54295.1	gnl|YPES214092|GKDD-2865-MONOMER	100.0	100.0
KGA54296.1	gnl|YPES214092|GKDD-2912-MONOMER	100.0	100.0
KGA54297.1	gnl|YPES214092|GKDD-2932-MONOMER	100.0	100.0
KGA54298.1	gnl|YPES214092|GKDD-2866-MONOMER	100.0	100.0
KGA54299.1	gnl|YPES214092|GKDD-2840-MONOMER	100.0	100.0
KGA54300.1	gnl|YPES214092|GKDD-2850-MONOMER	100.0	100.0
KGA54302.1	gnl|YPES214092|GKDD-2847-MONOMER	100.0	100.0
KGA54303.1	gnl|YPES214092|GKDD-2910-MONOMER	100.0	100.0
KGA54305.1	gnl|YPES214092|GKDD-2885-MONOMER	100.0	100.0
KGA54306.1	gnl|YPES214092|GKDD-2831-MONOMER	100.0	100.0
KGA54307.1	gnl|YPES214092|GKDD-2871-MONOMER	100.0	100.0
KGA54191.1	gnl|YPES214092|GKDD-3375-MONOMER	100.0	100.0
KGA54189.1	gnl|YPES214092|GKDD-2548-MONOMER	100.0	100.0
KGA54357.1	gnl|YPES214092|GKDD-2848-MONOMER	100.0	100.0
KGA54104.1	gnl|YPES214092|GKDD-3382-MONOMER	100.0	100.0
KGA54112.1	gnl|YPES214092|GKDD-3378-MONOMER	100.0	100.0
KGA54110.1	gnl|YPES214092|GKDD-3385-MONOMER	100.0	100.0
KGA54108.1	gnl|YPES214092|GKDD-2551-MONOMER	100.0	100.0
KGA54107.1	gnl|YPES214092|GKDD-2557-MONOMER	100.0	100.0
KGA54106.1	gnl|YPES214092|GKDD-2559-MONOMER	100.0	100.0
KGA54105.1	gnl|YPES214092|GKDD-2560-MONOMER	100.0	100.0
KGA54102.1	gnl|YPES214092|GKDD-2570-MONOMER	100.0	100.0
KGA54188.1	gnl|YPES214092|GKDD-2519-MONOMER	100.0	100.0
KGA54101.1	gnl|YPES214092|GKDD-3399-MONOMER	100.0	100.0
KGA54100.1	gnl|YPES214092|GKDD-2537-MONOMER	100.0	100.0
KGA54099.1	gnl|YPES214092|GKDD-3403-MONOMER	100.0	100.0
KGA54098.1	gnl|YPES214092|GKDD-3395-MONOMER	100.0	100.0
KGA54097.1	gnl|YPES214092|GKDD-2568-MONOMER	100.0	100.0
KGA54096.1	gnl|YPES214092|GKDD-2525-MONOMER	100.0	100.0
KGA54113.1	gnl|YPES214092|GKDD-2514-MONOMER	100.0	100.0
KGA54115.1	gnl|YPES214092|GKDD-2555-MONOMER	100.0	100.0
KGA54116.1	gnl|YPES214092|GKDD-3401-MONOMER	100.0	100.0
KGA54117.1	gnl|YPES214092|GKDD-3422-MONOMER	100.0	100.0
KGA54118.1	gnl|YPES214092|GKDD-2539-MONOMER	100.0	100.0
KGA54119.1	gnl|YPES214092|GKDD-2513-MONOMER	100.0	100.0
KGA54120.1	gnl|YPES214092|GKDD-2509-MONOMER	100.0	100.0
KGA54122.1	gnl|YPES214092|GKDD-2532-MONOMER	100.0	100.0
KGA54123.1	gnl|YPES214092|GKDD-3384-MONOMER	100.0	100.0
KGA54124.1	gnl|YPES214092|GKDD-2554-MONOMER	100.0	100.0
KGA54125.1	gnl|YPES214092|GKDD-2533-MONOMER	100.0	100.0
KGA54127.1	gnl|YPES214092|GKDD-3417-MONOMER	100.0	100.0
KGA54129.1	gnl|YPES214092|GKDD-2547-MONOMER	100.0	100.0
KGA54130.1	gnl|YPES214092|GKDD-3394-MONOMER	100.0	100.0
KGA54131.1	gnl|YPES214092|GKDD-2564-MONOMER	100.0	100.0
KGA54132.1	gnl|YPES214092|GKDD-3365-MONOMER	100.0	100.0
KGA54133.1	gnl|YPES214092|GKDD-2527-MONOMER	100.0	100.0
KGA54095.1	gnl|YPES214092|GKDD-2530-MONOMER	100.0	100.0
KGA54094.1	gnl|YPES214092|GKDD-2542-MONOMER	100.0	100.0
KGA54093.1	gnl|YPES214092|GKDD-2543-MONOMER	100.0	100.0
KGA54067.1	gnl|YPES214092|GKDD-2578-MONOMER	100.0	100.0
KGA54046.1	gnl|YPES214092|GKDD-631-MONOMER	100.0	100.0
KGA54047.1	gnl|YPES214092|GKDD-1322-MONOMER	100.0	100.0
KGA54048.1	gnl|YPES214092|GKDD-1346-MONOMER	100.0	100.0
KGA54049.1	gnl|YPES214092|GKDD-1338-MONOMER	100.0	100.0
KGA54050.1	gnl|YPES214092|GKDD-1335-MONOMER	100.0	100.0
KGA54053.1	gnl|YPES214092|GKDD-1317-MONOMER	100.0	100.0
KGA54054.1	gnl|YPES214092|GKDD-1336-MONOMER	100.0	100.0
KGA54056.1	gnl|YPES214092|GKDD-633-MONOMER	100.0	100.0
KGA54057.1	gnl|YPES214092|GKDD-1311-MONOMER	100.0	100.0
KGA54059.1	gnl|YPES214092|GKDD-660-MONOMER	100.0	100.0
KGA54060.1	gnl|YPES214092|GKDD-3386-MONOMER	100.0	100.0
KGA54061.1	gnl|YPES214092|GKDD-2526-MONOMER	100.0	100.0
KGA54063.1	gnl|YPES214092|GKDD-2529-MONOMER	100.0	100.0
KGA54064.1	gnl|YPES214092|GKDD-2544-MONOMER	100.0	100.0
KGA54068.1	gnl|YPES214092|GKDD-2523-MONOMER	100.0	100.0
KGA54092.1	gnl|YPES214092|GKDD-2569-MONOMER	100.0	100.0
KGA54070.1	gnl|YPES214092|GKDD-2528-MONOMER	100.0	100.0
KGA54071.1	gnl|YPES214092|GKDD-2511-MONOMER	100.0	100.0
KGA54072.1	gnl|YPES214092|GKDD-2508-MONOMER	100.0	100.0
KGA54074.1	gnl|YPES214092|GKDD-3419-MONOMER	100.0	100.0
KGA54075.1	gnl|YPES214092|GKDD-3390-MONOMER	100.0	100.0
KGA54076.1	gnl|YPES214092|GKDD-3377-MONOMER	100.0	100.0
KGA54079.1	gnl|YPES214092|GKDD-2573-MONOMER	100.0	100.0
KGA54082.1	gnl|YPES214092|GKDD-2580-MONOMER	100.0	100.0
KGA54083.1	gnl|YPES214092|GKDD-3397-MONOMER	100.0	100.0
KGA54086.1	gnl|YPES214092|GKDD-3387-MONOMER	100.0	100.0
KGA54087.1	gnl|YPES214092|GKDD-3389-MONOMER	100.0	100.0
KGA54089.1	gnl|YPES214092|GKDD-3391-MONOMER	100.0	100.0
KGA54090.1	gnl|YPES214092|GKDD-2510-MONOMER	100.0	100.0
KGA54091.1	gnl|YPES214092|GKDD-3380-MONOMER	100.0	100.0
KGA54134.1	gnl|YPES214092|GKDD-3414-MONOMER	100.0	100.0
KGA54135.1	gnl|YPES214092|GKDD-2565-MONOMER	100.0	100.0
KGA54136.1	gnl|YPES214092|GKDD-3409-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-2779-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-1546-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-16-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-1648-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-1888-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-1996-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-2024-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-2056-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-2080-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-2318-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-2435-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-2517-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-2644-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-2653-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-2709-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-3709-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-1510-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-4031-MONOMER	100.0	100.0
KGA54174.1	gnl|YPES214092|GKDD-2534-MONOMER	100.0	100.0
KGA54175.1	gnl|YPES214092|GKDD-2550-MONOMER	100.0	100.0
KGA54176.1	gnl|YPES214092|GKDD-3420-MONOMER	100.0	100.0
KGA54177.1	gnl|YPES214092|GKDD-3376-MONOMER	100.0	100.0
KGA54178.1	gnl|YPES214092|GKDD-3400-MONOMER	100.0	100.0
KGA54179.1	gnl|YPES214092|GKDD-3407-MONOMER	100.0	100.0
KGA54180.1	gnl|YPES214092|GKDD-2520-MONOMER	100.0	100.0
KGA54181.1	gnl|YPES214092|GKDD-3381-MONOMER	100.0	100.0
KGA54182.1	gnl|YPES214092|GKDD-2549-MONOMER	100.0	100.0
KGA54183.1	gnl|YPES214092|GKDD-3421-MONOMER	100.0	100.0
KGA54184.1	gnl|YPES214092|GKDD-3398-MONOMER	100.0	100.0
KGA54185.1	gnl|YPES214092|GKDD-2546-MONOMER	100.0	100.0
KGA54186.1	gnl|YPES214092|GKDD-2558-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-1516-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-1486-MONOMER	100.0	100.0
KGA54137.1	gnl|YPES214092|GKDD-2563-MONOMER	100.0	100.0
KGA54154.1	gnl|YPES214092|GKDD-2553-MONOMER	100.0	100.0
KGA54138.1	gnl|YPES214092|GKDD-2572-MONOMER	100.0	100.0
KGA54139.1	gnl|YPES214092|GKDD-3393-MONOMER	100.0	100.0
KGA54140.1	gnl|YPES214092|GKDD-2556-MONOMER	100.0	100.0
KGA54141.1	gnl|YPES214092|GKDD-3379-MONOMER	100.0	100.0
KGA54142.1	gnl|YPES214092|GKDD-3415-MONOMER	100.0	100.0
KGA54143.1	gnl|YPES214092|GKDD-2507-MONOMER	100.0	100.0
KGA54144.1	gnl|YPES214092|GKDD-2524-MONOMER	100.0	100.0
KGA54146.1	gnl|YPES214092|GKDD-3369-MONOMER	100.0	100.0
KGA54147.1	gnl|YPES214092|GKDD-3406-MONOMER	100.0	100.0
KGA54148.1	gnl|YPES214092|GKDD-3370-MONOMER	100.0	100.0
KGA54150.1	gnl|YPES214092|GKDD-3367-MONOMER	100.0	100.0
KGA54151.1	gnl|YPES214092|GKDD-3416-MONOMER	100.0	100.0
KGA54152.1	gnl|YPES214092|GKDD-2535-MONOMER	100.0	100.0
KGA54153.1	gnl|YPES214092|GKDD-2540-MONOMER	100.0	100.0
KGA54155.1	gnl|YPES214092|GKDD-2562-MONOMER	100.0	100.0
KGA54173.1	gnl|YPES214092|GKDD-1422-MONOMER	100.0	100.0
KGA54156.1	gnl|YPES214092|GKDD-3410-MONOMER	100.0	100.0
KGA54157.1	gnl|YPES214092|GKDD-2521-MONOMER	100.0	100.0
KGA54158.1	gnl|YPES214092|GKDD-3418-MONOMER	100.0	100.0
KGA54159.1	gnl|YPES214092|GKDD-2541-MONOMER	100.0	100.0
KGA54160.1	gnl|YPES214092|GKDD-3402-MONOMER	100.0	100.0
KGA54161.1	gnl|YPES214092|GKDD-2576-MONOMER	100.0	100.0
KGA54163.1	gnl|YPES214092|GKDD-2516-MONOMER	100.0	100.0
KGA54165.1	gnl|YPES214092|GKDD-2577-MONOMER	100.0	100.0
KGA54166.1	gnl|YPES214092|GKDD-3366-MONOMER	100.0	100.0
KGA54167.1	gnl|YPES214092|GKDD-3392-MONOMER	100.0	100.0
KGA54168.1	gnl|YPES214092|GKDD-3413-MONOMER	100.0	100.0
KGA54169.1	gnl|YPES214092|GKDD-3383-MONOMER	100.0	100.0
KGA54171.1	gnl|YPES214092|GKDD-3372-MONOMER	100.0	100.0
KGA54172.1	gnl|YPES214092|GKDD-3371-MONOMER	100.0	100.0
KGA54356.1	gnl|YPES214092|GKDD-2861-MONOMER	100.0	100.0
KGA54358.1	gnl|YPES214092|GKDD-1792-MONOMER	100.0	100.0
KGA54044.1	gnl|YPES214092|GKDD-1352-MONOMER	100.0	100.0
KGA54550.1	gnl|YPES214092|GKDD-2468-MONOMER	100.0	100.0
KGA54556.1	gnl|YPES214092|GKDD-2448-MONOMER	100.0	100.0
KGA54555.1	gnl|YPES214092|GKDD-2437-MONOMER	100.0	100.0
KGA54554.1	gnl|YPES214092|GKDD-2482-MONOMER	100.0	100.0
KGA54553.1	gnl|YPES214092|GKDD-2480-MONOMER	100.0	100.0
KGA54552.1	gnl|YPES214092|GKDD-2392-MONOMER	100.0	100.0
KGA54551.1	gnl|YPES214092|GKDD-2465-MONOMER	100.0	100.0
KGA54548.1	gnl|YPES214092|GKDD-2474-MONOMER	100.0	100.0
KGA54525.1	gnl|YPES214092|GKDD-2393-MONOMER	100.0	100.0
KGA54547.1	gnl|YPES214092|GKDD-2434-MONOMER	100.0	100.0
KGA54546.1	gnl|YPES214092|GKDD-2461-MONOMER	100.0	100.0
KGA54545.1	gnl|YPES214092|GKDD-2427-MONOMER	100.0	100.0
KGA54544.1	gnl|YPES214092|GKDD-2395-MONOMER	100.0	100.0
KGA54543.1	gnl|YPES214092|GKDD-2471-MONOMER	100.0	100.0
KGA54542.1	gnl|YPES214092|GKDD-2463-MONOMER	100.0	100.0
KGA54557.1	gnl|YPES214092|GKDD-2459-MONOMER	100.0	100.0
KGA54558.1	gnl|YPES214092|GKDD-2432-MONOMER	100.0	100.0
KGA54559.1	gnl|YPES214092|GKDD-2481-MONOMER	100.0	100.0
KGA54560.1	gnl|YPES214092|GKDD-2396-MONOMER	100.0	100.0
KGA54561.1	gnl|YPES214092|GKDD-2438-MONOMER	100.0	100.0
KGA54562.1	gnl|YPES214092|GKDD-2425-MONOMER	100.0	100.0
KGA54563.1	gnl|YPES214092|GKDD-2399-MONOMER	100.0	100.0
KGA54564.1	gnl|YPES214092|GKDD-2426-MONOMER	100.0	100.0
KGA54565.1	gnl|YPES214092|GKDD-2470-MONOMER	100.0	100.0
KGA54566.1	gnl|YPES214092|GKDD-2467-MONOMER	100.0	100.0
KGA54567.1	gnl|YPES214092|GKDD-2478-MONOMER	100.0	100.0
KGA54569.1	gnl|YPES214092|GKDD-2444-MONOMER	100.0	100.0
KGA54570.1	gnl|YPES214092|GKDD-2391-MONOMER	100.0	100.0
KGA54571.1	gnl|YPES214092|GKDD-2440-MONOMER	100.0	100.0
KGA54572.1	gnl|YPES214092|GKDD-2409-MONOMER	100.0	100.0
KGA54575.1	gnl|YPES214092|GKDD-2423-MONOMER	100.0	100.0
KGA54576.1	gnl|YPES214092|GKDD-2422-MONOMER	100.0	100.0
KGA54541.1	gnl|YPES214092|GKDD-2404-MONOMER	100.0	100.0
KGA54540.1	gnl|YPES214092|GKDD-2445-MONOMER	100.0	100.0
KGA54539.1	gnl|YPES214092|GKDD-2460-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-1648-MONOMER	100.0	100.0
KGA54527.1	gnl|YPES214092|GKDD-2439-MONOMER	100.0	100.0
KGA54528.1	gnl|YPES214092|GKDD-2454-MONOMER	100.0	100.0
KGA54529.1	gnl|YPES214092|GKDD-2420-MONOMER	100.0	100.0
KGA54530.1	gnl|YPES214092|GKDD-2389-MONOMER	100.0	100.0
KGA54531.1	gnl|YPES214092|GKDD-2449-MONOMER	100.0	100.0
KGA54533.1	gnl|YPES214092|GKDD-2466-MONOMER	100.0	100.0
KGA54534.1	gnl|YPES214092|GKDD-2464-MONOMER	100.0	100.0
KGA54535.1	gnl|YPES214092|GKDD-2443-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-1422-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-1486-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-1510-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-1516-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-1546-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-16-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-1888-MONOMER	100.0	100.0
KGA54538.1	gnl|YPES214092|GKDD-2411-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-1996-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-2024-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-2056-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-2080-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-2318-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-2435-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-2517-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-2644-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-2653-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-2709-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-2779-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-3709-MONOMER	100.0	100.0
KGA54536.1	gnl|YPES214092|GKDD-4031-MONOMER	100.0	100.0
KGA54537.1	gnl|YPES214092|GKDD-2416-MONOMER	100.0	100.0
KGA54577.1	gnl|YPES214092|GKDD-2433-MONOMER	100.0	100.0
KGA54578.1	gnl|YPES214092|GKDD-2456-MONOMER	100.0	100.0
KGA54579.1	gnl|YPES214092|GKDD-2450-MONOMER	100.0	100.0
KGA54638.1	gnl|YPES214092|GKDD-1195-MONOMER	100.0	100.0
