$Y_pestis_CO92_proteins	index	Description	GroupAmean (4003)	GroupAstdev	GroupBmean(4181)	GroupBstdev	abs tval	deg freedom	raw pval	adj pval	fdr	Y_pestis_CO92	Similarity_Y_pestis_Yp4003.to.Y_pestis_CO92	Similarity_Y_pestis_CO92.to.Y_pestis_Yp4003
GKDD-1704-MONOMER	Yp4003_00984	Ferritin-1	7.2916665	1.8528278	5.9166665	1.9286516	2.0712035	34	0.045997787	0.045997787	0.6328955	gnl|YPES214092|GKDD-1704-MONOMER	100.0	100.0
GKDD-2418-MONOMER	Yp4003_01296	NADH-quinone oxidoreductase subunit C/D	6.7777777	4.518661	3.6363637	1.4333687	2.224434	27	0.034671374	0.034671374	0.62831295	gnl|YPES214092|GKDD-2418-MONOMER	100.0	100.0
GKDD-1314-MONOMER	Yp4003_01334	Formate acetyltransferase 1	12.583333	3.2559867	16.0	5.009083	2.4714684	34	0.01862278	0.01862278	0.47712848	gnl|YPES214092|GKDD-1314-MONOMER	100.0	100.0
GKDD-2181-MONOMER	Yp4003_01502	hypothetical protein	2.5384614	0.8770581	3.75	0.8864052	3.0620227	19	0.0064152116	0.0064152116	-2.3832512	gnl|YPES214092|GKDD-2181-MONOMER	100.0	100.0
GKDD-3797-MONOMER	Yp4003_01584	Universal stress protein A	18.291666	10.699368	10.083333	2.7784343	2.5967174	34	0.013804872	0.013804872	-5.12851	gnl|YPES214092|GKDD-3797-MONOMER	100.0	100.0
GKDD-473-MONOMER	Yp4003_01637	Chaperone SurA precursor	2.7857144	0.9749612	5.3333335	2.2509258	3.6081088	18	0.0020106009	0.0020106009	-0.7469382	gnl|YPES214092|GKDD-473-MONOMER	100.0	100.0
GKDD-485-MONOMER	Yp4003_01649	Chaperone protein ClpB	11.125	3.2612681	16.833334	6.617241	3.493319	34	0.0013453983	0.0013453983	-0.49981546	gnl|YPES214092|GKDD-485-MONOMER	100.0	100.0
GKDD-2809-MONOMER	Yp4003_01681	Glutamate-pyruvate aminotransferase AlaC	20.583334	2.4122272	23.5	4.033947	2.7196617	34	0.010218547	0.010218547	-3.7961903	gnl|YPES214092|GKDD-2809-MONOMER	100.0	100.0
GKDD-2678-MONOMER	Yp4003_02045	Phosphoribosylformylglycinamidine cyclo-ligase	2.5882354	0.8702602	3.8888888	2.0275874	2.304032	24	0.030186633	0.030186633	0.5902281	gnl|YPES214092|GKDD-2678-MONOMER	100.0	100.0
GKDD-2470-MONOMER	Yp4003_02124	LPS-assembly lipoprotein LptE precursor	2.25	0.62158155	3.25	0.95742714	2.4494896	14	0.02807138	0.02807138	0.59591526	gnl|YPES214092|GKDD-2470-MONOMER	100.0	100.0
GKDD-2717-MONOMER	Yp4003_02373	GMP synthase [glutamine-hydrolyzing]	10.458333	5.656694	18.666666	6.568981	3.890762	34	0.00044237069	0.00044237069	-0.16434072	gnl|YPES214092|GKDD-2717-MONOMER	100.0	100.0
GKDD-3523-MONOMER	Yp4003_02445	Maltoporin precursor	6.714286	3.8359206	9.75	4.2666783	2.1003234	31	0.043932155	0.043932155	0.66615486	gnl|YPES214092|GKDD-3523-MONOMER	100.0	100.0
GKDD-3526-MONOMER	Yp4003_02448	Maltose-binding periplasmic protein precursor	7.2608695	3.0032918	11.666667	3.3120534	3.9786673	33	0.0003574466	0.0003574466	-0.13279141	gnl|YPES214092|GKDD-3526-MONOMER	100.0	100.0
GKDD-3669-MONOMER	Yp4003_02514	hypothetical protein	8.583333	1.9981875	6.5833335	1.4433757	3.0791998	34	0.0040896465	0.0040896465	-1.5193037	gnl|YPES214092|GKDD-3669-MONOMER	100.0	100.0
GKDD-1566-MONOMER	Yp4003_02653	Isocitrate dehydrogenase [NADP]	30.5	3.538607	27.0	4.3900714	2.5814726	34	0.014322748	0.014322748	0.46268705	gnl|YPES214092|GKDD-1566-MONOMER	100.0	100.0
GKDD-3144-MONOMER	Yp4003_02680	Catalase-peroxidase precursor	27.791666	11.545671	19.166666	8.611128	2.283162	34	0.028793216	0.028793216	0.5781989	gnl|YPES214092|GKDD-3144-MONOMER	100.0	100.0
GKDD-2373-MONOMER	Yp4003_02808	Outer membrane protein X precursor	2.0	0.0	3.5	1.2692956	3.7370465	18	0.0015088654	0.0015088654	-0.5605435	gnl|YPES214092|GKDD-2373-MONOMER	100.0	100.0
GKDD-1289-MONOMER	Yp4003_02929	Pyruvate dehydrogenase [ubiquinone]	11.541667	4.432873	8.166667	3.5887027	2.2845578	34	0.028702265	0.028702265	0.59238285	gnl|YPES214092|GKDD-1289-MONOMER	100.0	100.0
GKDD-1067-MONOMER	Yp4003_02957	Peptidoglycan-associated lipoprotein precursor	9.583333	3.6105723	14.666667	8.6585045	2.5000768	34	0.017403273	0.017403273	0.47891232	gnl|YPES214092|GKDD-1067-MONOMER	100.0	100.0
GKDD-2248-MONOMER	Yp4003_02991	Transcriptional regulator SlyA	3.3333333	1.0846523	4.7	1.7029387	2.6022918	26	0.01508948	0.01508948	0.44845933	gnl|YPES214092|GKDD-2248-MONOMER	100.0	100.0
GKDD-193-MONOMER	Yp4003_03069	30S ribosomal protein S12	2.3333333	0.651339	4.0	0.8164966	4.9080625	17	0.00013287955	0.00013287955	0.049364753	gnl|YPES214092|GKDD-193-MONOMER	100.0	100.0
GKDD-3225-MONOMER	Yp4003_03165	Pantothenate synthetase	2.75	0.75377834	2.0	0.0	2.1828206	15	0.045356873	0.045356873	0.64807993	gnl|YPES214092|GKDD-3225-MONOMER	100.0	100.0
GKDD-213-MONOMER	Yp4003_03357	50S ribosomal protein L5	10.708333	4.1017404	14.5	6.7756248	2.0938346	34	0.04380464	0.04380464	0.67805934	gnl|YPES214092|GKDD-213-MONOMER	100.0	100.0
GKDD-206-MONOMER	Yp4003_03364	50S ribosomal protein L22	7.0	0.0	3.8	1.4832398	2.8829994	5	0.03446718	0.03446718	-0.64022785	gnl|YPES214092|GKDD-206-MONOMER	100.0	100.0
GKDD-1939-MONOMER	Yp4003_03619	Putative oxidoreductase YceM	4.4117646	2.2654698	2.625	0.7440238	2.1552618	23	0.041845478	0.041845478	0.66151464	gnl|YPES214092|GKDD-1939-MONOMER	100.0	100.0
GKDD-3985-MONOMER	Yp4003_03626	alkanesulfonate transporter substrate-binding subunit	9.0	4.854402	5.75	2.4167972	2.1769173	34	0.036524218	0.036524218	0.6461308	gnl|YPES214092|GKDD-3985-MONOMER	100.0	100.0
GKDD-3569-MONOMER	Yp4003_03845	50S ribosomal protein L7/L12	17.625	7.654567	24.5	11.626772	2.1296556	34	0.04052159	0.04052159	0.6842623	gnl|YPES214092|GKDD-3569-MONOMER	100.0	100.0
GKDD-31-MONOMER	Yp4003_03933	GTP-binding protein TypA/BipA	7.7083335	2.7422488	9.833333	3.1574826	2.0846732	34	0.04468111	0.04468111	0.6509424	gnl|YPES214092|GKDD-31-MONOMER	100.0	100.0
GKDD-1080-MONOMER	Yp4003_04042	Galactokinase	5.652174	1.4336443	6.9166665	1.880925	2.2238615	33	0.033115286	0.033115286	0.6151164	gnl|YPES214092|GKDD-1080-MONOMER	100.0	100.0
GKDD-2834-MONOMER	Yp4003_04060	Phosphoenolpyruvate-protein phosphotransferase	6.7916665	2.3027236	9.333333	3.8455012	2.4846575	34	0.018051168	0.018051168	0.47900066	gnl|YPES214092|GKDD-2834-MONOMER	100.0	100.0
GKDD-3598-MONOMER	Yp4003_04103	3-ketoacyl-CoA thiolase	2.9333334	0.8837151	2.0	0.0	2.319062	18	0.03235375	0.03235375	0.61638045	gnl|YPES214092|GKDD-3598-MONOMER	100.0	100.0
GKDD-3597-MONOMER	Yp4003_04104	Fatty acid oxidation complex subunit alpha	14.541667	4.809223	7.9166665	2.5746434	4.4426026	34	8.9578105e-05	8.9578105e-05	Infinity	gnl|YPES214092|GKDD-3597-MONOMER	100.0	100.0
GKDD-3016-MONOMER	Yp4003_04221	preprotein translocase subunit YajC	6.117647	3.4256818	3.0	0.8944272	2.1726432	21	0.04140044	0.04140044	0.66870713	gnl|YPES214092|GKDD-3016-MONOMER	100.0	100.0
GKDD-21-MONOMER	Yp4003_04259	Thiol:disulfide interchange protein DsbA precursor	5.2083335	1.6412925	3.75	1.544786	2.5608642	34	0.015051299	0.015051299	0.4659631	gnl|YPES214092|GKDD-21-MONOMER	100.0	100.0
GKDD-3100-MONOMER	Yp4003_04278	Chaperone protein ClpB	10.291667	3.3032153	7.5	3.503245	2.34357	34	0.025085516	0.025085516	0.5648042	gnl|YPES214092|GKDD-3100-MONOMER	100.0	100.0
GKDD-3117-MONOMER	Yp4003_04310	30S ribosomal protein S16	3.631579	1.0651305	2.7	0.82327265	2.4059353	27	0.023247829	0.023247829	0.5397855	gnl|YPES214092|GKDD-3117-MONOMER	100.0	100.0
GKDD-3361-MONOMER	Yp4003_04375	30S ribosomal protein S6	3.875	0.67967385	4.6666665	1.0730869	2.7053692	34	0.010585837	0.010585837	-3.9326386	gnl|YPES214092|GKDD-3361-MONOMER	100.0	100.0
GKDD-3359-MONOMER	Yp4003_04376	30S ribosomal protein S18	3.0769231	0.8623165	2.1666667	0.40824828	2.4345212	17	0.02622563	0.02622563	0.5731072	gnl|YPES214092|GKDD-3359-MONOMER	100.0	100.0
